河海大学,hhu.edu.cn,http://www.hhu.edu.cn/
南京航空航天大学,nuaa.edu.cn,http://www.nuaa.edu.cn/
江南大学,sytu.edu.cn,http://www.sytu.edu.cn/
南京农业大学,njau.edu.cn,http://www.njau.edu.cn/
南京理工大学,njust.edu.cn,http://www.njust.edu.cn/
浙江大学,zju.edu.cn,http://www.zju.edu.cn/
中国科学技术大学,ustc.edu.cn,http://www.ustc.edu.cn/
安徽大学,ahu.edu.cn,http://www.ahu.edu.cn/
合肥工业大学,hfut.edu.cn,http://www.hfut.edu.cn/
厦门大学,xmu.edu.cn,http://www.xmu.edu.cn/
福州大学,fzu.edu.cn,http://www.fzu.edu.cn/
南昌大学,ncu.edu.cn,http://www.ncu.edu.cn/
山东大学,sdu.edu.cn,http://www.sdu.edu.cn/
中国海洋大学,ouc.edu.cn,http://www.ouc.edu.cn/
中国石油大学(华东),upc.edu.cn,http://www.upc.edu.cn/
哈尔滨工业大学(威海),hitwh.edu.cn,http://www.hitwh.edu.cn/
山东大学(威海),wh.sdu.edu.cn,http://www.wh.sdu.edu.cn/
郑州大学,zzu.edu.cn,http://www.zzu.edu.cn/
武汉大学,whu.edu.cn,http://www.whu.edu.cn/
华中科技大学,hust.edu.cn,http://www.hust.edu.cn/
中国地质大学(武汉),cug.edu.cn,http://www.cug.edu.cn/
武汉理工大学,whut.edu.cn,http://www.whut.edu.cn/
华中师范大学,ccnu.edu.cn,http://www.ccnu.edu.cn/
华中农业大学,hzau.edu.cn,http://www.hzau.edu.cn/
中南财经政法大学,znufe.edu.cn,http://www.znufe.edu.cn/
湖南大学,hnu.edu.cn,http://www.hnu.edu.cn/
中南大学,csu.edu.cn,http://www.csu.edu.cn/
湖南师范大学,hunnu.edu.cn,http://www.hunnu.edu.cn/
华南师范大学,scnu.edu.cn,http://www.scnu.edu.cn/
暨南大学,jnu.edu.cn,http://www.jnu.edu.cn/
华南理工大学,scut.edu.cn,http://www.scut.edu.cn/
中山大学,sysu.edu.cn,http://www.sysu.edu.cn/
广西大学,gxu.edu.cn,http://www.gxu.edu.cn/
四川大学,scu.edu.cn,http://www.scu.edu.cn/
西南交通大学,swjtu.edu.cn,http://www.swjtu.edu.cn/
电子科技大学,uestc.edu.cn,http://www.uestc.edu.cn/
四川农业大学,sicau.edu.cn,http://www.sicau.edu.cn/
西南财经大学,swufe.edu.cn,http://www.swufe.edu.cn/
云南大学,ynu.edu.cn,http://www.ynu.edu.cn/
贵州大学,gzu.edu.cn,http://www.gzu.edu.cn/
西北大学,nwu.edu.cn,http://www.nwu.edu.cn/
西安交通大学,xjtu.edu.cn,http://www.xjtu.edu.cn/
西北工业大学,nwpu.edu.cn,http://www.nwpu.edu.cn/
西安电子科技大学,xidian.edu.cn,http://www.xidian.edu.cn/
长安大学,xahu.edu.cn,http://www.xahu.edu.cn/
西北农林科技大学,nwsuaf.edu.cn,http://www.nwsuaf.edu.cn/
陕西师范大学,snnu.edu.cn,http://www.snnu.edu.cn/
兰州大学,lzu.edu.cn,http://www.lzu.edu.cn/
新疆大学,xju.edu.cn,http://www.xju.edu.cn/
石河子大学,shzu.edu.cn,http://www.shzu.edu.cn/
第二军医大学,smmu.edu.cn,http://www.smmu.edu.cn/
第四军医大学,fmmu.edu.cn,http://www.fmmu.edu.cn/
国防科技大学,nudt.edu.cn,http://www.nudt.edu.cn/
青海大学,qhu.edu.cn,http://www.qhu.edu.cn/
宁夏大学,nxu.edu.cn,http://www.nxu.edu.cn/
海南大学,hainu.edu.cn,http://www.hainu.edu.cn/
西藏大学,utibet.edu.cn,http://www.utibet.edu.cn/
